"BRAND_OWNER__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","ID","ISDELETED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","OWNERID","RECORDTYPEID","SYSTEMMODSTAMP","TYPE__C"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTOMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Zucaritas","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTPMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Tikityn","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTQMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Nexcare","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTRMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Mafer","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTSMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Snickers","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTTMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","P&G","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTUMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Roma","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTVMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Malapata","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTWMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Jumez","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
"","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","MXN","a0FHp00000upTTXMA2","false","005Hp00000ihVbKIAU","2024-03-03T15:18:55.000Z","","","Zuko","005Hp00000ihVbKIAU","012Hp000001mPmGIAU","2024-03-03T15:18:55.000Z","Brand Owner"
